Datetime,Open,High,Low,Close,Adj Close,Volume,Stock
2024-03-04 09:15:00+05:30,73909.421875,73979.578125,73877.640625,73894.6484375,73894.6484375,0,^BSESN
2024-03-04 09:16:00+05:30,73890.7578125,73936.390625,73860.0078125,73934.5234375,73934.5234375,0,^BSESN
2024-03-04 09:17:00+05:30,73929.3828125,73938.546875,73903.359375,73927.59375,73927.59375,0,^BSESN
2024-03-04 09:18:00+05:30,73929.9609375,73959.671875,73927.359375,73946.9375,73946.9375,0,^BSESN
2024-03-04 09:19:00+05:30,73946.84375,73974.140625,73933.8828125,73971.25,73971.25,0,^BSESN
2024-03-04 09:20:00+05:30,73971.21875,73971.21875,73928.2890625,73942.4765625,73942.4765625,0,^BSESN
2024-03-04 09:21:00+05:30,73943.78125,73944.8203125,73904.21875,73906.25,73906.25,0,^BSESN
2024-03-04 09:22:00+05:30,73905.28125,73915.2890625,73850.3125,73852.9375,73852.9375,0,^BSESN
2024-03-04 09:23:00+05:30,73854.5234375,73905.03125,73835.8203125,73905.03125,73905.03125,0,^BSESN
2024-03-04 09:24:00+05:30,73908.4609375,73932.1875,73897.15625,73919.46875,73919.46875,0,^BSESN
2024-03-04 09:25:00+05:30,73921.8515625,73929.3984375,73899.9296875,73915.75,73915.75,0,^BSESN
2024-03-04 09:26:00+05:30,73920.953125,73925.046875,73903.9921875,73911.453125,73911.453125,0,^BSESN
2024-03-04 09:27:00+05:30,73909.6796875,73909.6796875,73874.0390625,73883.7578125,73883.7578125,0,^BSESN
2024-03-04 09:28:00+05:30,73889.09375,73889.09375,73875.453125,73880.84375,73880.84375,0,^BSESN
2024-03-04 09:29:00+05:30,73877.78125,73877.78125,73828.328125,73828.8203125,73828.8203125,0,^BSESN
2024-03-04 09:30:00+05:30,73825.5078125,73848.03125,73815.03125,73842.671875,73842.671875,0,^BSESN
2024-03-04 09:31:00+05:30,73844.203125,73844.203125,73804.109375,73824.4609375,73824.4609375,0,^BSESN
2024-03-04 09:32:00+05:30,73824.359375,73864.171875,73823.921875,73863.2578125,73863.2578125,0,^BSESN
2024-03-04 09:33:00+05:30,73860.6015625,73870.8984375,73855.046875,73864.6328125,73864.6328125,0,^BSESN
2024-03-04 09:34:00+05:30,73861.046875,73870.9609375,73856.84375,73863.546875,73863.546875,0,^BSESN
2024-03-04 09:35:00+05:30,73863.2578125,73869.3515625,73856.7578125,73869.3515625,73869.3515625,0,^BSESN
2024-03-04 09:36:00+05:30,73881.359375,73881.359375,73831.6484375,73836.4375,73836.4375,0,^BSESN
2024-03-04 09:37:00+05:30,73837.4921875,73839.921875,73803.109375,73821.8125,73821.8125,0,^BSESN
2024-03-04 09:38:00+05:30,73822.0078125,73834.6015625,73801.7578125,73801.7578125,73801.7578125,0,^BSESN
2024-03-04 09:39:00+05:30,73800.09375,73803.8671875,73751.390625,73771.15625,73771.15625,0,^BSESN
2024-03-04 09:40:00+05:30,73770.9921875,73778.3671875,73752.4609375,73761.2109375,73761.2109375,0,^BSESN
2024-03-04 09:41:00+05:30,73759.8203125,73782.3203125,73759.8203125,73778.3203125,73778.3203125,0,^BSESN
2024-03-04 09:42:00+05:30,73779.2109375,73797.46875,73773.3828125,73797.46875,73797.46875,0,^BSESN
2024-03-04 09:43:00+05:30,73797.46875,73846.890625,73795.3125,73845.34375,73845.34375,0,^BSESN
2024-03-04 09:44:00+05:30,73843.84375,73861.953125,73843.84375,73859.7109375,73859.7109375,0,^BSESN
2024-03-04 09:45:00+05:30,73859.1875,73872.0390625,73831.5390625,73835.453125,73835.453125,0,^BSESN
2024-03-04 09:46:00+05:30,73836.4609375,73836.9609375,73804.5078125,73804.5078125,73804.5078125,0,^BSESN
2024-03-04 09:47:00+05:30,73806.2265625,73825.671875,73806.2265625,73811.1015625,73811.1015625,0,^BSESN
2024-03-04 09:48:00+05:30,73813.0078125,73813.328125,73757.40625,73771.6875,73771.6875,0,^BSESN
2024-03-04 09:49:00+05:30,73768.171875,73771.9609375,73752.0390625,73753.203125,73753.203125,0,^BSESN
2024-03-04 09:50:00+05:30,73753.1875,73776.7578125,73747.5390625,73776.53125,73776.53125,0,^BSESN
2024-03-04 09:51:00+05:30,73778.5234375,73805.96875,73777.953125,73778.2890625,73778.2890625,0,^BSESN
2024-03-04 09:52:00+05:30,73776.0625,73793.1484375,73755.6171875,73790.3203125,73790.3203125,0,^BSESN
2024-03-04 09:53:00+05:30,73786.8828125,73796.71875,73777.1796875,73796.6796875,73796.6796875,0,^BSESN
2024-03-04 09:54:00+05:30,73795.2265625,73805.9375,73785.828125,73802.5078125,73802.5078125,0,^BSESN
