Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-07-12,65759.28125,65811.640625,65320.25,65393.8984375,65393.8984375,7400,^BSESN
2023-07-13,65667.0703125,66064.2109375,65452.1484375,65558.890625,65558.890625,9500,^BSESN
2023-07-14,65775.4921875,66159.7890625,65610.8203125,66060.8984375,66060.8984375,10800,^BSESN
2023-07-17,66148.1796875,66656.2109375,66015.6328125,66589.9296875,66589.9296875,9200,^BSESN
2023-07-18,66828.9609375,67007.0234375,66574.46875,66795.140625,66795.140625,8200,^BSESN
2023-07-19,66905.0078125,67171.3828125,66703.609375,67097.4375,67097.4375,8500,^BSESN
2023-07-20,67074.34375,67619.171875,66831.3828125,67571.8984375,67571.8984375,8300,^BSESN
2023-07-21,66907.0703125,67190.5234375,66533.7421875,66684.2578125,66684.2578125,13200,^BSESN
2023-07-24,66629.140625,66808.5625,66326.25,66384.78125,66384.78125,8600,^BSESN
2023-07-25,66531.203125,66559.2890625,66177.6171875,66355.7109375,66355.7109375,11100,^BSESN
2023-07-26,66434.71875,66897.2734375,66431.34375,66707.203125,66707.203125,10500,^BSESN
2023-07-27,66834.1171875,66984.171875,66060.7421875,66266.8203125,66266.8203125,8400,^BSESN
2023-07-28,66266.3515625,66351.21875,65878.6484375,66160.203125,66160.203125,12300,^BSESN
2023-07-31,66156.390625,66598.421875,65998.8984375,66527.671875,66527.671875,7900,^BSESN
2023-08-01,66532.9765625,66658.1171875,66388.2578125,66459.3125,66459.3125,10500,^BSESN
2023-08-02,66064.40625,66261.96875,65431.6796875,65782.78125,65782.78125,7500,^BSESN
2023-08-03,65550.8203125,65820.8203125,64963.078125,65240.6796875,65240.6796875,9300,^BSESN
2023-08-04,65453.55078125,65799.2734375,65387.1796875,65721.25,65721.25,12500,^BSESN
2023-08-07,65811.3984375,66067.8984375,65748.25,65953.4765625,65953.4765625,7100,^BSESN
2023-08-08,66048.8125,66057.53125,65752.6328125,65846.5,65846.5,6300,^BSESN
2023-08-09,65810.9609375,66066.0078125,65444.37890625,65995.8125,65995.8125,6600,^BSESN
2023-08-10,65945.390625,65956.25,65509.140625,65688.1796875,65688.1796875,6000,^BSESN
2023-08-11,65727.796875,65727.796875,65274.609375,65322.6484375,65322.6484375,7600,^BSESN
2023-08-14,65153.01953125,65517.8203125,64821.87890625,65401.921875,65401.921875,7600,^BSESN
2023-08-16,65238.671875,65605.7421875,65032.890625,65539.421875,65539.421875,0,^BSESN
2023-08-17,65503.8515625,65535.140625,65046.1015625,65151.01953125,65151.01953125,6400,^BSESN
2023-08-18,65025.7109375,65175.3203125,64754.71875,64948.66015625,64948.66015625,14300,^BSESN
2023-08-21,64852.69921875,65335.8203125,64852.69921875,65216.08984375,65216.08984375,9300,^BSESN
2023-08-22,65272.421875,65362.91015625,65165.44921875,65220.03125,65220.03125,5400,^BSESN
2023-08-23,65300.9296875,65504.7109375,65108.51171875,65433.30078125,65433.30078125,7100,^BSESN
2023-08-24,65722.5078125,65913.7734375,65181.94140625,65252.33984375,65252.33984375,5900,^BSESN
2023-08-25,65000.671875,65106.0,64732.5703125,64886.51171875,64886.51171875,51700,^BSESN
2023-08-28,64908.078125,65213.44921875,64776.921875,64996.6015625,64996.6015625,20800,^BSESN
2023-08-29,65201.3515625,65229.03125,64956.671875,65075.8203125,65075.8203125,48500,^BSESN
2023-08-30,65311.578125,65458.69921875,65052.73828125,65087.25,65087.25,17700,^BSESN
2023-08-31,65178.328125,65277.0390625,64723.62890625,64831.41015625,64831.41015625,48600,^BSESN
2023-09-01,64855.51171875,65473.26953125,64818.37109375,65387.16015625,65387.16015625,21600,^BSESN
2023-09-04,65525.91015625,65683.90625,65285.55859375,65628.140625,65628.140625,13700,^BSESN
2023-09-05,65671.6015625,65831.703125,65601.46875,65780.2578125,65780.2578125,6600,^BSESN
2023-09-06,65744.1875,65971.1328125,65488.03125,65880.5234375,65880.5234375,6100,^BSESN
2023-09-07,65854.25,66296.8984375,65672.34375,66265.5625,66265.5625,6200,^BSESN
2023-09-08,66381.4296875,66766.921875,66299.296875,66598.90625,66598.90625,11500,^BSESN
2023-09-11,66807.7265625,67172.1328125,66735.84375,67127.078125,67127.078125,9300,^BSESN
2023-09-12,67506.8828125,67539.1015625,66948.1796875,67221.1328125,67221.1328125,8700,^BSESN
2023-09-13,67188.640625,67565.40625,67053.359375,67466.9921875,67466.9921875,6200,^BSESN
